payload_offset,section,origin_zero_word,assembler_word,delta_or_kind,classification
1FF4,assembler,24AD,8C9B,67EE,normal
1FF7,assembler,145A,7C48,67EE,normal
1FFA,assembler,2C64,9452,67EE,normal
1FFF,assembler,2475,8C63,67EE,normal
2002,assembler,24AD,8C9B,67EE,normal
200B,assembler,232B,8B19,67EE,normal
200E,assembler,2328,8B16,67EE,normal
2011,assembler,24AD,8C9B,67EE,normal
2014,assembler,232B,8B19,67EE,normal
2019,assembler,207B,8869,67EE,normal
2024,assembler,2521,8D0F,67EE,normal
2027,assembler,2D3F,952D,67EE,normal
202A,assembler,27EE,8FDC,67EE,normal
2035,assembler,1F0F,86FD,67EE,normal
2038,assembler,2079,8867,67EE,normal
203E,assembler,1209,79F7,67EE,normal
2048,assembler,2127,8915,67EE,normal
204B,assembler,2485,8C73,67EE,normal
204F,assembler,2BAF,939D,67EE,normal
2052,assembler,2D61,954F,67EE,normal
2058,assembler,2CAC,949A,67EE,normal
205C,assembler,24AD,8C9B,67EE,normal
2064,assembler,2472,8C60,67EE,normal
2067,assembler,24AD,8C9B,67EE,normal
206D,assembler,2BCA,93B8,67EE,normal
2072,assembler,1F3F,872D,67EE,normal
2076,assembler,205F,884D,67EE,normal
2079,assembler,1F0F,86FD,67EE,normal
207C,assembler,2D40,952E,67EE,normal
20B9,assembler,28AE,909C,67EE,normal
20C8,assembler,2D3F,952D,67EE,normal
20E6,assembler,2521,8D0F,67EE,normal
210B,assembler,2D64,9552,67EE,normal
211A,assembler,27ED,8FDB,67EE,normal
211D,assembler,2BA2,9390,67EE,normal
2125,assembler,222F,8A1D,67EE,normal
212E,assembler,27AF,8F9D,67EE,normal
2131,assembler,27F5,8FE3,67EE,normal
2134,assembler,2D39,9527,67EE,normal
2139,assembler,27AF,8F9D,67EE,normal
213C,assembler,27F5,8FE3,67EE,normal
213F,assembler,2D25,9513,67EE,normal
2144,assembler,27B3,8FA1,67EE,normal
214A,assembler,2D38,9526,67EE,normal
214D,assembler,2D11,94FF,67EE,normal
2152,assembler,27B7,8FA5,67EE,normal
2155,assembler,25CB,8DB9,67EE,normal
2158,assembler,2D39,9527,67EE,normal
2160,assembler,275F,8F4D,67EE,normal
2163,assembler,2785,8F73,67EE,normal
2166,assembler,2799,8F87,67EE,normal
216A,assembler,2767,8F55,67EE,normal
216D,assembler,22BD,8AAB,67EE,normal
2170,assembler,21D9,89C7,67EE,normal
2179,assembler,2241,8A2F,67EE,normal
217C,assembler,2D25,9513,67EE,normal
2180,assembler,275F,8F4D,67EE,normal
2188,assembler,21D9,89C7,67EE,normal
2194,assembler,22C1,8AAF,67EE,normal
2198,assembler,22C1,8AAF,67EE,normal
21B0,assembler,2720,8F0E,67EE,normal
21B3,assembler,21CB,89B9,67EE,normal
21B6,assembler,2D11,94FF,67EE,normal
21B9,assembler,2720,8F0E,67EE,normal
21BC,assembler,21C3,89B1,67EE,normal
21C0,assembler,2201,89EF,67EE,normal
21C5,assembler,2703,8EF1,67EE,normal
21CD,assembler,2703,8EF1,67EE,normal
21DC,assembler,30E1,98CF,67EE,normal
21EA,assembler,22D8,8AC6,67EE,normal
220A,assembler,2526,8D14,67EE,normal
220D,assembler,21CB,89B9,67EE,normal
2212,assembler,2D25,9513,67EE,normal
2215,assembler,25E0,8DCE,67EE,normal
2218,assembler,21C3,89B1,67EE,normal
2228,assembler,2D11,94FF,67EE,normal
222D,assembler,25E0,8DCE,67EE,normal
223E,assembler,2D61,954F,67EE,normal
2248,assembler,2526,8D14,67EE,normal
224C,assembler,2D24,9512,67EE,normal
2256,assembler,2D11,94FF,67EE,normal
2276,assembler,2D25,9513,67EE,normal
227B,assembler,25E0,8DCE,67EE,normal
228B,assembler,2D25,9513,67EE,normal
228E,assembler,22CD,8ABB,67EE,normal
2291,assembler,2BA2,9390,67EE,normal
2296,assembler,2BA2,9390,67EE,normal
229B,assembler,2BA2,9390,67EE,normal
22A4,assembler,22CD,8ABB,67EE,normal
22AB,assembler,2A5A,9248,67EE,normal
22B2,assembler,1B86,8374,67EE,normal
22DC,assembler,2953,9141,67EE,normal
22E0,assembler,2C34,9422,67EE,normal
22E3,assembler,251B,8D09,67EE,normal
22E6,assembler,24AD,8C9B,67EE,normal
22E9,assembler,2C6F,945D,67EE,normal
22EC,assembler,2475,8C63,67EE,normal
22EF,assembler,24AD,8C9B,67EE,normal
22F2,assembler,1F2E,871C,67EE,normal
22F8,assembler,2835,9023,67EE,normal
2300,assembler,2321,8B0F,67EE,normal
2303,assembler,2317,8B05,67EE,normal
2306,assembler,2321,8B0F,67EE,normal
2309,assembler,2300,8AEE,67EE,normal
230D,assembler,2DE1,95CF,67EE,normal
2319,assembler,29A7,9195,67EE,normal
2328,assembler,3E68,A656,67EE,normal
232B,assembler,3E68,A656,67EE,normal
2339,assembler,2327,8B15,67EE,normal
2354,assembler,234C,8B3A,67EE,normal
2357,assembler,2A17,9205,67EE,normal
2376,assembler,2CE5,94D3,67EE,normal
237D,assembler,2521,8D0F,67EE,normal
23A2,assembler,2517,8D05,67EE,normal
23A8,assembler,2353,8B41,67EE,normal
23AE,assembler,2514,8D02,67EE,normal
23BB,assembler,255C,8D4A,67EE,normal
23C3,assembler,1F3F,872D,67EE,normal
23D6,assembler,2EB6,96A4,67EE,normal
23D9,assembler,2509,8CF7,67EE,normal
23DE,assembler,2514,8D02,67EE,normal
23F1,assembler,23FA,8BE8,67EE,normal
2401,assembler,2FF4,97E2,67EE,normal
2404,assembler,2509,8CF7,67EE,normal
2412,assembler,1F3F,872D,67EE,normal
2460,assembler,2356,8B44,67EE,normal
2464,assembler,2406,8BF4,67EE,normal
2473,assembler,24AD,8C9B,67EE,normal
2486,assembler,24AD,8C9B,67EE,normal
24AA,assembler,1DFC,85EA,67EE,normal
24AD,assembler,3E68,A656,67EE,normal
24B2,assembler,2475,8C63,67EE,normal
24BC,assembler,2830,901E,67EE,normal
24C1,assembler,24CF,8CBD,67EE,normal
24C5,assembler,2488,8C76,67EE,normal
24D2,assembler,2375,8B63,67EE,normal
24D7,assembler,2335,8B23,67EE,normal
24DC,assembler,2CED,94DB,67EE,normal
24E1,assembler,2984,9172,67EE,normal
24E4,assembler,2505,8CF3,67EE,normal
24E7,assembler,2CE5,94D3,67EE,normal
24FE,assembler,296E,915C,67EE,normal
2505,assembler,2984,9172,67EE,normal
2515,assembler,2408,8BF6,67EE,normal
251F,assembler,2D07,94F5,67EE,normal
2529,assembler,2D3F,952D,67EE,normal
252C,assembler,27EE,8FDC,67EE,normal
2536,assembler,2D62,9550,67EE,normal
2542,assembler,22D8,8AC6,67EE,normal
2547,assembler,2D64,9552,67EE,normal
254B,assembler,2A55,9243,67EE,normal
254F,assembler,2D66,9554,67EE,normal
256F,assembler,25B4,8DA2,67EE,normal
2572,assembler,3796,9F84,67EE,normal
25BB,assembler,2703,8EF1,67EE,normal
25C3,assembler,2703,8EF1,67EE,normal
25CC,assembler,2D11,94FF,67EE,normal
25EC,assembler,26D2,8EC0,67EE,normal
25EF,assembler,22C9,8AB7,67EE,normal
25FA,assembler,2BA2,9390,67EE,normal
25FD,assembler,26D2,8EC0,67EE,normal
2606,assembler,26CF,8EBD,67EE,normal
260E,assembler,296E,915C,67EE,normal
2619,assembler,2A55,9243,67EE,normal
262B,assembler,2D07,94F5,67EE,normal
2635,assembler,26D2,8EC0,67EE,normal
263B,assembler,2659,8E47,67EE,normal
2652,assembler,22C9,8AB7,67EE,normal
2655,assembler,26CF,8EBD,67EE,normal
2660,assembler,2966,9154,67EE,normal
2673,assembler,26CF,8EBD,67EE,normal
2676,assembler,22C9,8AB7,67EE,normal
267C,assembler,26E0,8ECE,67EE,normal
2687,assembler,22C5,8AB3,67EE,normal
268F,assembler,22C5,8AB3,67EE,normal
269A,assembler,26CF,8EBD,67EE,normal
26A3,assembler,26BA,8EA8,67EE,normal
26AA,assembler,26BA,8EA8,67EE,normal
26B2,assembler,26BA,8EA8,67EE,normal
26B6,assembler,22D4,8AC2,67EE,normal
26BB,assembler,26CF,8EBD,67EE,normal
26BF,assembler,22D4,8AC2,67EE,normal
26D0,assembler,2BA2,9390,67EE,normal
2719,assembler,2201,89EF,67EE,normal
2722,assembler,275F,8F4D,67EE,normal
272E,assembler,278F,8F7D,67EE,normal
2731,assembler,2799,8F87,67EE,normal
2735,assembler,2767,8F55,67EE,normal
2785,assembler,2EB6,96A4,67EE,normal
278F,assembler,2FF4,97E2,67EE,normal
27BA,assembler,27EE,8FDC,67EE,normal
27DC,assembler,27ED,8FDB,67EE,normal
27EB,assembler,22C9,8AB7,67EE,normal
27F6,assembler,27EE,8FDC,67EE,normal
27FF,assembler,2FAF,979D,67EE,normal
2802,assembler,2991,917F,67EE,normal
2808,assembler,2835,9023,67EE,normal
280B,assembler,2D3E,952C,67EE,normal
280F,assembler,29C8,91B6,67EE,normal
2814,assembler,20ED,88DB,67EE,normal
281D,assembler,298A,9178,67EE,normal
2822,assembler,207C,886A,67EE,normal
2826,assembler,28AE,909C,67EE,normal
282B,assembler,29A9,9197,67EE,normal
2836,assembler,29C8,91B6,67EE,normal
284A,assembler,2879,9067,67EE,normal
284E,assembler,296E,915C,67EE,normal
2859,assembler,2855,9043,67EE,normal
2867,assembler,28EE,90DC,67EE,normal
2871,assembler,28E8,90D6,67EE,normal
2877,assembler,2855,9043,67EE,normal
287A,assembler,28EE,90DC,67EE,normal
2883,assembler,28C5,90B3,67EE,normal
289D,assembler,2966,9154,67EE,normal
28A6,assembler,296E,915C,67EE,normal
28B4,assembler,296E,915C,67EE,normal
28C9,assembler,28C7,90B5,67EE,normal
28CD,assembler,2854,9042,67EE,normal
28D1,assembler,294F,913D,67EE,normal
28DE,assembler,2861,904F,67EE,normal
28E9,assembler,28C7,90B5,67EE,normal
290A,assembler,2D3F,952D,67EE,normal
2918,assembler,296E,915C,67EE,normal
2921,assembler,2926,9114,67EE,normal
2986,assembler,29BF,91AD,67EE,normal
299D,assembler,29A7,9195,67EE,normal
29AB,assembler,29BF,91AD,67EE,normal
29E6,assembler,29C8,91B6,67EE,normal
29EB,assembler,2D08,94F6,67EE,normal
29F0,assembler,27EE,8FDC,67EE,normal
29F3,assembler,2966,9154,67EE,normal
29FE,assembler,296E,915C,67EE,normal
2A0C,assembler,22C9,8AB7,67EE,normal
2A10,assembler,2D07,94F5,67EE,normal
2A17,assembler,3E76,A664,67EE,normal
2A23,assembler,2A37,9225,67EE,normal
2A28,assembler,2A63,9251,67EE,normal
2A3B,assembler,2D07,94F5,67EE,normal
2A56,assembler,29EA,91D8,67EE,normal
2A5A,assembler,3E78,A666,67EE,normal
2A60,assembler,22A8,8A96,67EE,normal
2A6F,assembler,2B2C,931A,67EE,normal
2A72,assembler,2A5A,9248,67EE,normal
2A75,assembler,2BB8,93A6,67EE,normal
2A78,assembler,2A17,9205,67EE,normal
2A7E,assembler,2A37,9225,67EE,normal
2A8A,assembler,2D08,94F6,67EE,normal
2AB3,assembler,2A5A,9248,67EE,normal
2ABC,assembler,2D07,94F5,67EE,normal
2AC9,assembler,2B2C,931A,67EE,normal
2ACD,assembler,2A5A,9248,67EE,normal
2AD0,assembler,2BC0,93AE,67EE,normal
2AD4,assembler,2D06,94F4,67EE,normal
2ADA,assembler,2B2C,931A,67EE,normal
2ADD,assembler,2A17,9205,67EE,normal
2AE0,assembler,2BBD,93AB,67EE,normal
2AE8,assembler,2A37,9225,67EE,normal
2AF1,assembler,2A37,9225,67EE,normal
2AF7,assembler,2A17,9205,67EE,normal
2AFD,assembler,181B,8009,67EE,normal
2B08,assembler,2BC0,93AE,67EE,normal
2B1A,assembler,2A17,9205,67EE,normal
2B23,assembler,2A5A,9248,67EE,normal
2B46,assembler,2D07,94F5,67EE,normal
2B57,assembler,2B81,936F,67EE,normal
2B5C,assembler,2B81,936F,67EE,normal
2B62,assembler,2B81,936F,67EE,normal
2B6A,assembler,2B81,936F,67EE,normal
2B70,assembler,2B81,936F,67EE,normal
2B76,assembler,2B81,936F,67EE,normal
2B7B,assembler,2B81,936F,67EE,normal
2B9B,assembler,2BA3,9391,67EE,normal
2BAF,assembler,3E7E,A66C,67EE,normal
2BCC,assembler,2C1F,940D,67EE,normal
2BD0,assembler,2488,8C76,67EE,normal
2BE4,assembler,2A5A,9248,67EE,normal
2BEF,assembler,2B2C,931A,67EE,normal
2BFD,assembler,2328,8B16,67EE,normal
2C00,assembler,2C1A,9408,67EE,normal
2C03,assembler,232B,8B19,67EE,normal
2C06,assembler,2C1A,9408,67EE,normal
2C09,assembler,2A5A,9248,67EE,normal
2C0C,assembler,2C11,93FF,67EE,normal
2C0F,assembler,2A17,9205,67EE,normal
2C2A,assembler,205F,884D,67EE,normal
2C2D,assembler,18F6,80E4,67EE,normal
2C30,assembler,1A11,81FF,67EE,normal
2C35,assembler,22F4,8AE2,67EE,normal
2C3A,assembler,29C8,91B6,67EE,normal
2C3D,assembler,205F,884D,67EE,normal
2C47,assembler,2984,9172,67EE,normal
2C4A,assembler,2A5A,9248,67EE,normal
2C4D,assembler,2C52,9440,67EE,normal
2C50,assembler,1B86,8374,67EE,normal
2C53,assembler,297D,916B,67EE,normal
2C56,assembler,2B42,9330,67EE,normal
2C59,assembler,2D07,94F5,67EE,normal
2C5F,assembler,2981,916F,67EE,normal
2C67,assembler,3E68,A656,67EE,normal
2C77,assembler,2A17,9205,67EE,normal
2C80,assembler,2327,8B15,67EE,normal
2C86,assembler,24AD,8C9B,67EE,normal
2C97,assembler,2488,8C76,67EE,normal
2C9F,assembler,2BAF,939D,67EE,normal
2CB1,assembler,22A8,8A96,67EE,normal
2CB7,assembler,2A5A,9248,67EE,normal
2CC4,assembler,2B2C,931A,67EE,normal
2CC8,assembler,2A5A,9248,67EE,normal
2CCB,assembler,2BC0,93AE,67EE,normal
2CCE,assembler,2A17,9205,67EE,normal
2CD1,assembler,2BC0,93AE,67EE,normal
2CD4,assembler,2328,8B16,67EE,normal
2CD7,assembler,2BA9,9397,67EE,normal
2CDA,assembler,232B,8B19,67EE,normal
2CDD,assembler,2BA9,9397,67EE,normal
