payload_offset,section,origin_zero_word,assembler_word,delta_or_kind,classification
16B5,assembler,2A17,9205,67EE,normal
16BE,assembler,161C,7E0A,67EE,normal
16C9,assembler,2830,901E,67EE,normal
16D5,assembler,1602,7DF0,67EE,normal
16DA,assembler,1602,7DF0,67EE,normal
16DE,assembler,2879,9067,67EE,normal
16E3,assembler,1F09,86F7,67EE,normal
16EB,assembler,1E6C,865A,67EE,normal
16F2,assembler,1E73,8661,67EE,normal
16FB,assembler,1E73,8661,67EE,normal
1703,assembler,1711,7EFF,67EE,normal
1706,assembler,2A17,9205,67EE,normal
1719,assembler,1E6C,865A,67EE,normal
171D,assembler,3E68,A656,67EE,normal
1720,assembler,2328,8B16,67EE,normal
1723,assembler,13CE,7BBC,67EE,normal
1726,assembler,232B,8B19,67EE,normal
1729,assembler,1583,7D71,67EE,normal
172C,assembler,2C32,9420,67EE,normal
1731,assembler,1701,7EEF,67EE,normal
1734,assembler,3E68,A656,67EE,normal
1737,assembler,1829,8017,67EE,normal
1743,assembler,2A17,9205,67EE,normal
174C,assembler,1838,8026,67EE,normal
1751,assembler,2A17,9205,67EE,normal
175B,assembler,177A,7F68,67EE,normal
1765,assembler,1701,7EEF,67EE,normal
1769,assembler,1815,8003,67EE,normal
177F,assembler,17D0,7FBE,67EE,normal
178B,assembler,2B21,930F,67EE,normal
1793,assembler,2A5A,9248,67EE,normal
1796,assembler,2C11,93FF,67EE,normal
179F,assembler,2B21,930F,67EE,normal
17A5,assembler,177A,7F68,67EE,normal
17A8,assembler,2C11,93FF,67EE,normal
17AB,assembler,2A5A,9248,67EE,normal
17AE,assembler,2C11,93FF,67EE,normal
17BD,assembler,2A17,9205,67EE,normal
17C2,assembler,2C11,93FF,67EE,normal
17CD,assembler,181B,8009,67EE,normal
17DB,assembler,2C11,93FF,67EE,normal
17E2,assembler,1815,8003,67EE,normal
17E6,assembler,2A17,9205,67EE,normal
17F0,assembler,3E68,A656,67EE,normal
17F3,assembler,1829,8017,67EE,normal
1806,assembler,1838,8026,67EE,normal
1819,assembler,175E,7F4C,67EE,normal
182A,assembler,2C6F,945D,67EE,normal
1850,assembler,1E6A,8658,67EE,normal
1859,assembler,1E6F,865D,67EE,normal
185E,assembler,18FC,80EA,67EE,normal
1861,assembler,1915,8103,67EE,normal
186F,assembler,2A17,9205,67EE,normal
1876,assembler,3E68,A656,67EE,normal
187B,assembler,2327,8B15,67EE,normal
187F,assembler,2488,8C76,67EE,normal
1884,assembler,192B,8119,67EE,normal
188B,assembler,192E,811C,67EE,normal
1891,assembler,2A5A,9248,67EE,normal
1895,assembler,2A17,9205,67EE,normal
189C,assembler,18C1,80AF,67EE,normal
18A0,assembler,18C6,80B4,67EE,normal
18B0,assembler,2C34,9422,67EE,normal
18B5,assembler,18DA,80C8,67EE,normal
18D8,assembler,1DFC,85EA,67EE,normal
18F9,assembler,1E6C,865A,67EE,normal
18FD,assembler,1915,8103,67EE,normal
1902,assembler,27EE,8FDC,67EE,normal
1920,assembler,1E1C,860A,67EE,normal
1923,assembler,1E5A,8648,67EE,normal
1931,assembler,194A,8138,67EE,normal
1935,assembler,18C1,80AF,67EE,normal
1939,assembler,18C6,80B4,67EE,normal
1946,assembler,1DFC,85EA,67EE,normal
194B,assembler,1DF1,85DF,67EE,normal
1951,assembler,2C34,9422,67EE,normal
1954,assembler,22E2,8AD0,67EE,normal
1957,assembler,2C28,9416,67EE,normal
195A,assembler,19A0,818E,67EE,normal
195D,assembler,2079,8867,67EE,normal
1967,assembler,2488,8C76,67EE,normal
196A,assembler,1960,814E,67EE,normal
197B,assembler,1A0A,81F8,67EE,normal
197E,assembler,2375,8B63,67EE,normal
1983,assembler,2A17,9205,67EE,normal
1986,assembler,1A0A,81F8,67EE,normal
1989,assembler,1F3F,872D,67EE,normal
1990,assembler,2CE5,94D3,67EE,normal
1993,assembler,2D3F,952D,67EE,normal
199B,assembler,251B,8D09,67EE,normal
199E,assembler,201D,880B,67EE,normal
19A1,assembler,24A2,8C90,67EE,normal
19A5,assembler,1960,814E,67EE,normal
19A8,assembler,2A5A,9248,67EE,normal
19B2,assembler,22DA,8AC8,67EE,normal
19B5,assembler,1F0F,86FD,67EE,normal
19B8,assembler,2079,8867,67EE,normal
19BC,assembler,2C28,9416,67EE,normal
19BF,assembler,19F9,81E7,67EE,normal
19C2,assembler,2079,8867,67EE,normal
19C7,assembler,2D3F,952D,67EE,normal
19CA,assembler,1960,814E,67EE,normal
19E6,assembler,1960,814E,67EE,normal
19F4,assembler,251B,8D09,67EE,normal
19F7,assembler,201D,880B,67EE,normal
19FA,assembler,24A2,8C90,67EE,normal
19FD,assembler,1960,814E,67EE,normal
1A01,assembler,1B86,8374,67EE,normal
1A0B,assembler,2356,8B44,67EE,normal
1A0E,assembler,2357,8B45,67EE,normal
1A12,assembler,1E1C,860A,67EE,normal
1A15,assembler,1E4D,863B,67EE,normal
1A1F,assembler,22A8,8A96,67EE,normal
1A23,assembler,1B86,8374,67EE,normal
1A2A,assembler,1960,814E,67EE,normal
1A32,assembler,196E,815C,67EE,normal
1A37,assembler,1978,8166,67EE,normal
1A3E,assembler,194A,8138,67EE,normal
1A46,assembler,1E6A,8658,67EE,normal
1A4E,assembler,1A7F,826D,67EE,normal
1A53,assembler,1701,7EEF,67EE,normal
1A58,assembler,1A91,827F,67EE,normal
1A5B,assembler,1BEF,83DD,67EE,normal
1A5E,assembler,1A89,8277,67EE,normal
1A61,assembler,2A5A,9248,67EE,normal
1A65,assembler,1B94,8382,67EE,normal
1A68,assembler,1B75,8363,67EE,normal
1A6B,assembler,3E68,A656,67EE,normal
1A6E,assembler,2C6F,945D,67EE,normal
1A73,assembler,1C04,83F2,67EE,normal
1A77,assembler,2488,8C76,67EE,normal
1A7A,assembler,1A8C,827A,67EE,normal
1A84,assembler,2335,8B23,67EE,normal
1A89,assembler,1BEF,83DD,67EE,normal
1A94,assembler,1A91,827F,67EE,normal
1A97,assembler,1B1A,8308,67EE,normal
1A9A,assembler,1A89,8277,67EE,normal
